address,apn,ord_no,enacted,construction_date,historic_name
1329 & 1331 Q Street,006-0284-015,3911,8/2/1977,Unknown,
1504 Q Street,006-0292-002,3911,8/2/1977,Unknown,
1518 Q Street,006-0292-005,3911,8/2/1977,1910-1915,
1522 Q Street,006-0292-006,3911,8/2/1977,c. 1894,
1526 Q Street,006-0292-008,3911,8/2/1977,c. 1880,
1701 Q Street,006-0295-018,3911,8/2/1977,c. 1917,The Bidwell
1800 Q Street & 1707 18th Street,007-0312-003,82-046,6/15/1982,"1910-1911, 1926-1927",
1910 Q Street,007-0314-006,82-046,6/15/1982,1914-1915,California Expert Cleaners
2307 Q Street,007-0325-019,3911,8/2/1977,1895,
2515 Q Street,007-0333-019,3911,8/2/1977,1910,
2527 Q Street,007-0333-016,3911,8/2/1977,c. 1910,
2531 Q Street,007-0333-015,3911,8/2/1977,c. 1910,
412 S Street,009-0054-005,3911,8/2/1977,1911,
414 S Street,009-0054-006,3911,8/2/1977,1911,
506 S Street,009-0056-005,3911,8/2/1977,1910-1915,
723 S Street,009-0063-016,82-046,6/15/1982,1913,PG&E Offices
730 S Street,009-0064-002,82-046,6/15/1982,1924,Holy Angel Cathedral School
1022 S Street,009-0074-008,81-117,12/22/1981,c. 1908,
1730 S Street,009-0096-009,82-046,6/15/1982,1904-1907,
